"A_11PM","A_3AM","A_7AM","A_11AM","A_3PM","A_7PM","B_11PM","B_3AM","B_7AM","B_11AM","B_3PM","B_7PM","GeneSymbol"
"1.23366e+00","2.76068e+00","2.57128e+00","1.58111e+00","1.25835e+00","2.14561e+00","8.91183e-01","1.22104e+00","1.94013e+00","1.15914e+00","2.11104e+00","9.59945e-01","klhl5"
"3.58283e+00","2.70673e+00","3.02896e+00","2.38329e+00","3.15813e+00","2.93380e+00","4.35262e+00","2.78424e+00","3.50623e+00","1.81719e+00","2.78730e+00","2.35112e+00","FAM114A1"
"9.06502e+00","4.31150e+00","4.97090e+00","9.79986e+00","6.12030e+00","6.93418e+00","5.16321e+00","5.80776e+00","4.97292e+00","6.68040e+00","4.88204e+00","4.96920e+00","KLF3"
"7.93350e+00","7.90535e+00","8.14900e+00","8.43170e+00","8.67616e+00","6.75542e+00","8.13816e+00","6.96449e+00","1.00518e+01","8.70806e+00","7.58624e+00","5.71838e+00","pgm2"
"1.10266e-01","5.26872e-01","5.69773e-01","1.12307e+00","7.55065e-01","1.71451e+00","2.06425e+00","8.18138e-01","3.57362e-01","1.39512e+00","7.56246e-01","2.46238e-01","zgc:195282"
"0.00000e+00","0.00000e+00","0.00000e+00","1.30858e-01","0.00000e+00","0.00000e+00","0.00000e+00","0.00000e+00","1.68660e-01","0.00000e+00","0.00000e+00","0.00000e+00","si:ch211-157h5.5"
"4.48380e+00","7.88653e+00","9.73197e+00","3.25285e+00","3.20235e+00","1.02025e+01","3.97807e+00","1.58789e+00","6.98995e+00","1.99170e+00","4.29813e+00","3.18589e+00","zgc:165626"
"2.03890e+01","1.80858e+01","2.34271e+01","1.69522e+01","2.63345e+01","2.31148e+01","2.22249e+01","1.45056e+01","1.63930e+01","1.42230e+01","2.14564e+01","1.28405e+01","si:ch211-241e15.2"
"4.89915e+00","7.55117e+00","7.41110e+00","7.11340e+00","7.10569e+00","6.39578e+00","4.08044e+00","5.74324e+00","5.65427e+00","7.17554e+00","6.56669e+00","5.87656e+00","LAP3"
"1.12454e+02","9.45800e+01","8.01586e+01","8.83234e+01","1.22607e+02","7.56062e+01","1.20477e+02","1.06939e+02","7.53963e+01","1.21158e+02","1.22825e+02","1.26416e+02","kitb"
"9.82193e+00","8.05479e+00","1.02342e+01","9.26491e+00","9.16865e+00","1.07539e+01","9.47532e+00","8.38643e+00","8.66678e+00","9.15304e+00","1.00447e+01","9.32741e+00","LOC563777"
"1.65429e+00","3.08737e+00","4.25398e+00","5.46831e+00","4.21799e+00","2.35498e+00","2.88894e+00","3.29800e+00","3.65615e+00","3.48288e+00","2.31986e+00","4.00016e+00","POLR1E"
"4.56012e+00","6.43106e+00","3.79480e+00","4.26698e+00","5.33001e+00","5.47569e+00","4.61432e+00","6.95472e+00","6.61051e+00","5.45331e+00","6.25457e+00","5.10310e+00",""
"3.70404e+00","2.10663e+00","1.37306e+00","9.20912e-01","1.40425e+00","2.61107e+00","1.07347e+00","1.82863e+00","1.69632e+00","1.13470e+00","1.33925e+00","2.30270e+00","zgc:77636"
"2.62826e+00","3.87140e+00","2.71821e+00","2.85214e+00","2.57762e+00","2.44639e+00","1.45567e+00","3.11586e+00","4.47060e+00","3.18228e+00","2.39395e+00","1.93299e+00","METTL14"
"9.60782e-01","5.81549e-01","1.87408e+00","2.00343e+00","8.31101e-01","2.12519e+00","5.19379e-01","2.25923e-01","7.54257e-01","2.90248e-01","1.03720e+00","5.76112e-01","zgc:136652"
"7.16322e+00","6.06527e+00","8.76088e+00","4.36603e+00","1.07195e+01","9.17865e+00","4.72394e+00","4.31935e+00","1.11590e+01","4.63433e+00","7.30157e+00","4.23428e+00","TLL1"
"3.32395e+02","3.30399e+02","2.43759e+02","2.41586e+02","3.24670e+02","3.23365e+02","3.79257e+02","3.96102e+02","3.06338e+02","3.40109e+02","3.58475e+02","3.68269e+02","CPE"
"7.15729e+00","7.49589e+00","1.17570e+01","1.13505e+01","6.44811e+00","7.43652e+00","5.83036e+00","6.96307e+00","9.74463e+00","8.04363e+00","9.14697e+00","6.83907e+00","SC4MOL"
"1.27509e+00","9.16513e-01","2.44867e+00","8.44637e-01","1.41138e+00","2.41919e+00","5.08033e-01","7.30243e-02","6.40736e-01","6.02791e-01","1.05798e+00","4.08576e-01",""
"4.65708e+00","6.59335e+00","4.99557e+00","5.42798e+00","4.45257e+00","5.53171e+00","6.89777e+00","6.32123e+00","3.98153e+00","2.81736e+00","5.54399e+00","5.99838e+00","tmem144a"
"3.29625e+00","1.12300e+01","1.58853e+01","5.04626e+00","2.33365e+00","2.56025e+01","6.67432e+00","2.60878e+00","2.39239e+01","6.24790e+00","7.97876e+00","6.74878e+00","gria3b"
"1.85754e-01","7.55689e-01","1.21332e+00","2.18163e-01","4.00179e-01","1.69659e+00","9.92233e-01","6.35915e-01","3.31076e-01","8.59674e-01","2.61241e-01","5.15110e-01",""
"5.60338e-01","5.31017e-01","6.39882e-01","1.90141e+00","8.97381e-01","7.08190e-01","8.30564e-01","8.25906e-01","6.97214e-01","6.72487e-01","5.31646e-01","6.02938e-01","ncapd3"
"1.31644e+00","1.38287e+00","5.67859e-01","4.37680e-01","3.09436e-01","3.75828e-01","5.01935e-01","1.10634e+00","2.39106e-01","7.00529e-01","5.96681e-01","3.36950e-01","Melk"
"1.28012e+01","1.87537e+01","1.94711e+01","2.12335e+01","2.08129e+01","1.50754e+01","1.60623e+01","1.59826e+01","2.00548e+01","3.39983e+01","2.57656e+01","1.70259e+01","chrnb3a"
"7.27494e+01","7.89310e+01","6.84010e+01","9.82978e+01","1.08288e+02","6.24321e+01","7.18203e+01","7.50264e+01","8.22548e+01","1.50608e+02","1.14817e+02","9.67665e+01","CHRNA6"
"2.64541e+01","5.16582e+01","4.93163e+01","3.87379e+01","3.60756e+01","4.04177e+01","3.40271e+01","2.96239e+01","4.08667e+01","3.33712e+01","3.65342e+01","2.94787e+01","Uchl1"
"2.84577e-01","0.00000e+00","0.00000e+00","0.00000e+00","3.75483e-01","6.96787e-02","0.00000e+00","0.00000e+00","3.66576e-01","1.67064e-01","0.00000e+00","6.70564e-02","zgc:162825"
"1.22927e+02","7.93582e+01","3.01795e+01","4.85403e+01","6.99978e+01","6.06973e+01","1.10206e+02","9.13374e+01","5.38272e+01","5.52865e+01","7.59363e+01","7.81882e+01","prom1b"
"1.33790e+01","1.46631e+01","1.49951e+01","1.14508e+01","1.47571e+01","1.44540e+01","1.38085e+01","1.51137e+01","1.68942e+01","1.30823e+01","1.63107e+01","1.46329e+01","tapt1"
"2.10829e+00","3.07824e+00","7.47107e+00","4.05989e+00","2.89168e+00","6.37680e+00","3.52946e+00","3.41805e+00","5.22529e+00","3.90515e+00","4.15902e+00","3.40359e+00","ldb2b"
"7.25790e+00","7.26571e+00","9.26761e+00","6.87783e+00","8.42041e+00","7.32771e+00","8.16927e+00","7.64651e+00","1.13987e+01","6.72683e+00","7.44393e+00","7.33595e+00","qdprb1"
"4.90302e+00","5.26873e+00","5.22928e+00","6.71476e+00","5.42777e+00","4.74706e+00","6.69849e+00","5.07235e+00","5.86068e+00","5.50932e+00","5.71858e+00","5.19742e+00","si:dkey-170e5.1"
"4.14496e+02","3.40193e+02","3.69181e+02","4.47976e+02","3.89514e+02","3.40715e+02","3.57667e+02","3.27449e+02","3.51750e+02","3.25860e+02","2.97496e+02","3.14478e+02","LOC798685"
"8.23001e+00","7.87975e+00","5.40327e+00","6.26001e+00","7.13407e+00","5.70370e+00","6.40423e+00","6.19346e+00","6.31615e+00","4.46010e+00","5.42213e+00","6.10972e+00","UGDH"
"2.09674e+01","1.56104e+01","1.81658e+01","1.72091e+01","1.41336e+01","1.54582e+01","1.37117e+01","1.84602e+01","2.05054e+01","1.24112e+01","1.58290e+01","1.18904e+01","zgc:77713"
"1.32234e+01","1.11525e+01","1.22995e+01","1.03024e+01","1.05983e+01","1.26439e+01","9.23888e+00","1.06203e+01","9.35950e+00","9.47801e+00","1.05566e+01","9.79284e+00","PDS5A"
"3.09840e+00","2.81851e+00","3.33543e+00","1.88778e+00","2.18875e+00","5.23880e+00","3.65518e+00","1.96046e+00","4.76985e+00","2.43396e+00","2.18862e+00","2.85940e+00",""
"9.51995e+00","9.22764e+00","9.17959e+00","9.16852e+00","9.37670e+00","9.62837e+00","1.00158e+01","1.00666e+01","8.05090e+00","1.03242e+01","8.22868e+00","9.70238e+00","Mab21l2"
